open_lo,open_hi,lbc_lo,lbc_hi,zbc_max,mv_lo,mv_hi,fbt_max,plate_min,top_n,tp,sl,cost,rank,require_not_one_word,n,days,win_rate,avg_ret,sum_ret,max_dd,tp_share,in_n,in_wr,in_avg,oos_n,oos_wr,oos_avg
2.5,5.5,1,3,1,25,120,100000,2,3,0.008,0.0,0.0015,open_pct,True,38,35,0.9210526315789473,6.817713200229871e-05,0.002590731016087351,-0.10234853924881349,0.9210526315789473,23,0.9130434782608695,-0.0007398606898101372,15,0.9333333333333333,0.0013071684587813665
2.5,5.5,1,2,0,25,120,100000,2,1,0.008,0.0,0.0015,open_pct,True,25,25,0.92,-0.00016067183462532462,-0.004016795865633116,-0.08483333333333332,0.92,20,0.9,-0.0018258397932816577,5,1.0,0.006500000000000001
2.5,5.5,1,3,0,20,150,100000,1,1,0.008,0.0,0.0015,score,True,37,37,0.918918918918919,-0.00010565591848412548,-0.003909268983912643,-0.09651380475393079,0.918918918918919,27,0.9259259259259259,0.00033271126423581006,10,0.9,-0.0012892473118279505
2.5,5.5,1,4,0,20,150,100000,2,1,0.008,0.0,0.0015,score,True,37,37,0.918918918918919,-0.00010565591848412552,-0.0039092689839126445,-0.09064114448483129,0.918918918918919,29,0.9310344827586207,0.0007580415218747196,8,0.875,-0.003236559139784938
2.5,5.5,1,2,1,20,150,100000,1,1,0.008,0.0,0.0015,score,True,37,37,0.918918918918919,-0.00010565591848412567,-0.00390926898391265,-0.08483333333333332,0.918918918918919,24,0.9166666666666666,-0.0004381998277347132,13,0.9230769230769231,0.0005082712985938843
2.5,5.5,1,2,1,25,120,100000,1,2,0.008,0.0,0.0015,score,True,37,33,0.918918918918919,-0.00010565591848412567,-0.00390926898391265,-0.08483333333333332,0.918918918918919,20,0.9,-0.0018258397932816577,17,0.9411764705882353,0.0019180898165717941
2.5,5.5,1,2,1,25,120,100000,1,2,0.008,0.0,0.0015,open_pct,True,37,33,0.918918918918919,-0.00010565591848412567,-0.00390926898391265,-0.08483333333333332,0.918918918918919,20,0.9,-0.0018258397932816577,17,0.9411764705882353,0.0019180898165717941
2.5,5.5,1,3,1,25,120,100000,1,1,0.008,0.0,0.0015,score,True,37,37,0.918918918918919,-0.00010565591848412567,-0.00390926898391265,-0.10234853924881349,0.918918918918919,23,0.9130434782608695,-0.0007398606898101372,14,0.9285714285714286,0.0009362519201228925
2.5,5.5,1,4,0,25,120,100000,1,2,0.008,0.0,0.0015,score,True,36,35,0.9166666666666666,-0.0002891463606642401,-0.010409268983912643,-0.09651380475393079,0.9166666666666666,25,0.92,-0.00016067183462532519,11,0.9090909090909091,-0.0005811339198435912
2.5,5.5,1,4,0,25,120,100000,1,2,0.008,0.0,0.0015,open_pct,True,36,35,0.9166666666666666,-0.0002891463606642401,-0.010409268983912643,-0.09651380475393079,0.9166666666666666,25,0.92,-0.00016067183462532519,11,0.9090909090909091,-0.0005811339198435913
2.5,5.5,1,4,0,25,120,100000,1,3,0.008,0.0,0.0015,score,True,36,35,0.9166666666666666,-0.0002891463606642401,-0.010409268983912643,-0.09651380475393079,0.9166666666666666,25,0.92,-0.00016067183462532519,11,0.9090909090909091,-0.0005811339198435912
2.5,5.5,1,4,0,25,120,100000,1,3,0.008,0.0,0.0015,open_pct,True,36,35,0.9166666666666666,-0.0002891463606642401,-0.010409268983912643,-0.09651380475393079,0.9166666666666666,25,0.92,-0.00016067183462532519,11,0.9090909090909091,-0.0005811339198435913
2.5,5.5,1,3,0,20,150,100000,2,2,0.008,0.0,0.0015,score,True,35,34,0.9142857142857143,-0.0004831219709689327,-0.016909268983912644,-0.09651380475393079,0.9142857142857143,27,0.9259259259259259,0.00033271126423581006,8,0.875,-0.003236559139784938
2.5,5.5,1,3,0,20,150,100000,2,2,0.008,0.0,0.0015,open_pct,True,35,34,0.9142857142857143,-0.0004831219709689327,-0.016909268983912644,-0.09651380475393079,0.9142857142857143,27,0.9259259259259259,0.00033271126423581006,8,0.875,-0.003236559139784938
2.5,5.5,1,3,0,20,150,100000,2,3,0.008,0.0,0.0015,score,True,35,34,0.9142857142857143,-0.0004831219709689327,-0.016909268983912644,-0.09651380475393079,0.9142857142857143,27,0.9259259259259259,0.00033271126423581006,8,0.875,-0.003236559139784938
2.5,5.5,1,3,0,20,150,100000,2,3,0.008,0.0,0.0015,open_pct,True,35,34,0.9142857142857143,-0.0004831219709689327,-0.016909268983912644,-0.09651380475393079,0.9142857142857143,27,0.9259259259259259,0.00033271126423581006,8,0.875,-0.003236559139784938
