cat,open_lo,open_hi,zbc_max,fbt_max,hs_max,mv_lo,mv_hi,top_n,hold_days,cost,prefer_open,n,days,win_rate,avg_ret,median_ret,comp_ret,max_dd,raw_n,raw_wr
二进三,0.5,1.5,1,103000,8,30,90,1,3,0.0015,1.0,6,6,0.6666666666666666,0.04898312457329893,0.05617178174665266,0.25682055618565247,-0.21015122826086963,6,0.6666666666666666
二进三,0.5,1.5,2,103000,8,25,100,1,3,0.0015,1.0,6,6,0.6666666666666666,0.04898312457329893,0.05617178174665266,0.25682055618565247,-0.21015122826086963,6,0.6666666666666666
二进三,0.5,1.5,2,103000,8,30,90,1,3,0.0015,1.0,6,6,0.6666666666666666,0.04898312457329893,0.05617178174665266,0.25682055618565247,-0.21015122826086963,6,0.6666666666666666
二进三,0.5,1.5,1,103000,8,25,100,2,3,0.0015,1.0,6,6,0.6666666666666666,0.04898312457329893,0.05617178174665266,0.25682055618565247,-0.21015122826086963,6,0.6666666666666666
二进三,0.5,1.5,1,103000,8,30,90,2,3,0.0015,1.0,6,6,0.6666666666666666,0.04898312457329893,0.05617178174665266,0.25682055618565247,-0.21015122826086963,6,0.6666666666666666
二进三,0.5,1.5,2,103000,8,25,100,2,3,0.0015,1.0,6,6,0.6666666666666666,0.04898312457329893,0.05617178174665266,0.25682055618565247,-0.21015122826086963,6,0.6666666666666666
二进三,0.5,1.5,2,103000,8,30,90,2,3,0.0015,1.0,6,6,0.6666666666666666,0.04898312457329893,0.05617178174665266,0.25682055618565247,-0.21015122826086963,6,0.6666666666666666
二进三,0.0,2.2,1,103000,12,25,100,2,3,0.0015,1.0,32,32,0.65625,0.04927039372950033,0.03189225712580995,2.678932665437143,-0.34991353282409776,38,0.6578947368421053
二进三,0.0,2.2,2,103000,12,25,100,2,3,0.0015,1.0,32,32,0.65625,0.04927039372950033,0.03189225712580995,2.678932665437143,-0.34991353282409776,38,0.6578947368421053
二进三,0.0,2.2,1,103000,12,25,100,1,3,0.0015,1.0,32,32,0.65625,0.047643224401319934,0.04388268756258967,2.40608065409779,-0.44726292032224557,35,0.6571428571428571
二进三,0.0,2.2,2,103000,12,25,100,1,3,0.0015,1.0,32,32,0.65625,0.047643224401319934,0.04388268756258967,2.40608065409779,-0.44726292032224557,35,0.6571428571428571
一进二,0.5,1.5,3,103000,16,25,100,2,3,0.0015,1.0,29,29,0.6551724137931034,0.03199508832051469,0.022736983842010672,1.2531331779670238,-0.1696723419041002,45,0.5555555555555556
一进二,0.5,1.5,5,103000,16,25,100,2,3,0.0015,1.0,29,29,0.6551724137931034,0.03199508832051469,0.022736983842010672,1.2531331779670238,-0.1696723419041002,45,0.5555555555555556
一进二,0.5,1.5,0,103000,22,25,100,2,3,0.0015,1.0,26,26,0.6538461538461539,0.014901012466300498,0.025181598717121834,0.3517360222979973,-0.31429916861190554,32,0.59375
一进二,0.5,1.5,1,103000,12,25,100,1,3,0.0015,1.0,23,23,0.6521739130434783,0.027587782007860433,0.014373015873015817,0.7421065138055303,-0.1696723419041002,31,0.5483870967741935
二进三,0.0,2.0,1,100000,12,25,100,2,3,0.0015,1.0,20,20,0.65,0.056258454502386965,0.049144382020801014,1.5597098288691162,-0.4074089819398493,22,0.6818181818181818
二进三,0.0,2.0,2,100000,12,25,100,2,3,0.0015,1.0,20,20,0.65,0.056258454502386965,0.049144382020801014,1.5597098288691162,-0.4074089819398493,22,0.6818181818181818
二进三,0.0,2.0,0,103000,12,30,90,1,3,0.0015,1.0,20,20,0.65,0.05473697116954651,0.049144382020801014,1.4789729436908927,-0.3832778458116003,20,0.65
二进三,0.0,2.0,0,103000,12,30,90,2,3,0.0015,1.0,20,20,0.65,0.05473697116954651,0.049144382020801014,1.4789729436908927,-0.3832778458116003,20,0.65
二进三,0.0,2.0,1,100000,12,25,100,1,3,0.0015,1.0,20,20,0.65,0.049179090594866415,0.049144382020801014,1.1763974595224527,-0.49614851976728425,21,0.6666666666666666
二进三,0.0,2.0,2,100000,12,25,100,1,3,0.0015,1.0,20,20,0.65,0.049179090594866415,0.049144382020801014,1.1763974595224527,-0.49614851976728425,21,0.6666666666666666
二进三,0.0,2.2,0,103000,10,25,100,1,3,0.0015,1.0,20,20,0.65,0.04487449726094991,0.04388268756258967,1.018477823526947,-0.48507769010453183,21,0.6190476190476191
二进三,0.0,2.2,0,103000,10,25,100,2,3,0.0015,1.0,20,20,0.65,0.04487449726094991,0.04388268756258967,1.018477823526947,-0.48507769010453183,21,0.6190476190476191
一进二,0.5,1.5,1,103000,12,30,90,1,3,0.0015,1.0,20,20,0.65,0.030412118951395634,0.014883751063523744,0.697830283924672,-0.1696723419041002,27,0.5925925925925926
一进二,0.5,1.5,3,103000,16,20,120,2,3,0.0015,1.0,34,34,0.6470588235294118,0.03577319098933241,0.025509785478038893,1.9238017759147938,-0.1696723419041002,52,0.5769230769230769
一进二,0.5,1.5,5,103000,16,20,120,2,3,0.0015,1.0,34,34,0.6470588235294118,0.03577319098933241,0.025509785478038893,1.9238017759147938,-0.1696723419041002,52,0.5769230769230769
二进三,0.0,2.0,0,100000,12,30,90,1,3,0.0015,1.0,17,17,0.6470588235294118,0.051119899764910035,0.033138554216867455,1.0364134837759376,-0.37325203940169716,17,0.6470588235294118
二进三,0.0,2.0,0,100000,12,30,90,2,3,0.0015,1.0,17,17,0.6470588235294118,0.051119899764910035,0.033138554216867455,1.0364134837759376,-0.37325203940169716,17,0.6470588235294118
二进三,0.0,2.0,1,100000,12,30,90,1,3,0.0015,1.0,17,17,0.6470588235294118,0.04485403739272848,0.033138554216867455,0.853472133108212,-0.37325203940169716,18,0.6666666666666666
