code,name,nmc
600817,宇通重工,525785.403078
600819,耀皮玻璃,471975.728458
600820,隧道股份,1713532.37123
600821,金开新能,1188264.271612
600822,上海物贸,335141.130168
600824,益民集团,397368.206521
600825,新华传媒,554835.44835
600826,兰生股份,558345.530928
600827,百联股份,1257888.73728
600828,茂业商业,860486.009957
600829,人民同泰,584527.705776
600830,香溢融通,444781.969313
600831,广电网络,241721.97728
600833,第一医药,236917.700514
600834,申通地铁,380473.378285
600835,上海机电,1455740.2615
600838,上海九百,342353.211774
600839,四川长虹,3207396.248545
600841,动力新科,604954.20072
600843,上工申贝,336901.92014
600844,金煤科技,301119.412044
600845,宝信软件,3715388.280373
600846,同济科技,734094.7813
600847,万里股份,194368.4232
600848,上海临港,2070734.116145
600850,电科数字,1190891.955451
600851,海欣股份,627475.1935
600853,龙建股份,342630.29073
600854,春兰股份,246742.80555
600855,航天长峰,608866.925856
600857,宁波中百,466136.791682
600858,银座股份,263431.946761
600859,王府井,1138437.828832
600860,京城股份,376990.629012
600861,北京人力,738210.984272
600862,中航高科,2586892.191699
600863,华能蒙电,3333889.426904
600864,哈投股份,1202569.76056
600865,百大集团,427032.75866
600866,星湖科技,727725.005808
600867,通化东宝,1570751.348858
600868,梅雁吉祥,533379.778799
600869,远东股份,4705027.82152
600871,石化油服,2993889.729571
600872,中炬高新,1427098.69545
600873,梅花生物,2192916.9703
600874,创业环保,690264.545685
600875,东方电气,5674260.053665
600876,凯盛新能,278950.848915
600877,电科芯片,1423239.509384
600879,航天电子,4744392.442292
600880,博瑞传播,449235.401925
600881,亚泰集团,601180.083768
600882,妙可蓝多,1076396.370699
600883,博闻科技,188398.224
600884,杉杉股份,2119551.75663
600885,宏发股份,5528006.886036
600886,国投电力,10622206.210725
600887,伊利股份,16905495.230606
600888,新疆众和,1532895.831663
600892,大晟文化,274625.892176
600893,航发动力,10671159.531032
600894,广日股份,626456.322635
600895,张江高科,4618192.2381
600897,厦门空港,645413.832
600900,长江电力,69538674.748872
600901,江苏金租,3902764.938494
600903,贵州燃气,785690.04375
600905,三峡能源,10520255.252256
600906,财达证券,1414740.4767
600908,无锡银行,1161600.658365
600909,华安证券,4144972.65435
600916,中国黄金,1355760.0
600917,重庆燃气,764909.4824
600918,中泰证券,2587121.243721
600919,江苏银行,22535426.440564
600925,苏能股份,674540.40612
600926,杭州银行,12504529.3953
600927,永安期货,1868172.716928
600928,西安银行,1583560.755628
600929,雪天盐业,990628.406624
600930,华电新能,4200589.415476
600933,爱柯迪,1320443.637984
600935,华塑股份,813717.220384
600936,北投科技,910709.300255
600938,中国海油,9989590.0
600939,重庆建工,513668.23488
600941,中国移动,9054761.70601
600955,维远股份,697950.0
600956,新天绿能,1678883.404055
600958,东方证券,6924210.614928
600959,江苏有线,1570225.353404
600960,渤海汽车,384008.269272
600961,株冶集团,1907348.053726
600962,国投中鲁,676239.59
600963,岳阳林纸,602845.773922
600966,博汇纸业,637674.725376
600967,内蒙一机,2324651.515122
600968,海油发展,4015216.158605
600969,郴电国际,376711.392712
600970,中材国际,2045014.08072
