代码,SECUCODE,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日,_absnet,in_streak,连板数,有机构,机构买入家数,净买亿,买亿,卖亿,阶段
600403,600403.SH,大有能源,20260604,普通席位买入，成功率40.29%,7.4,9.9554,-34501511.72,91568763.28,126070275.0,217639038.28,832057193.0,-4.146531273362,26.156740198988,1.1075,17692011774.8,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,10.0,20.94594595,8.78378378,-18.78378378,34501511.72,True,4,False,,-0.3450151172,0.9156876328,1.26070275,中位(3-4板)
603779,603779.SH,威龙股份,20260514,普通席位买入，成功率48.25%,9.02,10.0,34330510.32,43944928.32,9614418.0,53559346.32,52220368.0,65.74160932761,102.564092079933,0.5448,2995386441.08,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,9.97782705,20.95343681,60.97560976,20.84257206,34330510.32,True,2,False,,0.3433051032,0.4394492832,0.09614418,低位(1-2板)
002081,002081.SZ,金螳螂,20260430,主力做T，成功率37.52%,5.9,10.0746,-30721997.05,394980703.87,425702700.92,820683404.79,3220259781.0,-0.954022319294,25.485006198325,21.7715,15601035847.6,日振幅值达到15%的前5只证券,10.0,21.01694915,35.25423729,16.94915254,30721997.05,True,3,False,,-0.3072199705,3.9498070387,4.2570270092,中位(3-4板)
603779,603779.SH,威龙股份,20260520,买一主买，成功率40.48%,13.2,10.0,29277540.0,87297480.0,58019940.0,145317420.0,145181712.0,20.166134974355,100.09347458308,1.5364,4383492352.8,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,10.0,-0.98484848,-11.36363636,-30.90909091,29277540.0,True,6,False,,0.2927754,0.8729748,0.5801994,高位(5板+)
002879,002879.SZ,长缆科技,20260723,2家机构买入，成功率26.12%,16.41,9.9866,-28701937.9,70815060.0,99516997.9,170332057.9,869664207.0,-3.300347153416,19.585957031344,19.1667,2250451334.61,连续三个交易日内，涨幅偏离值累计达到20%的证券,9.99390615,21.023766,-1.64533821,9.68921389,28701937.9,True,3,True,2.0,-0.28701937899999996,0.7081506,0.995169979,中位(3-4板)
600793,600793.SH,宜宾纸业,20260706,买一主买，成功率54.88%,17.61,9.9938,27608448.05,80670803.05,53062355.0,133733158.05,379976639.0,7.26582774211,35.195099994029,10.4809,3115279475.22,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,9.99432141,4.54287337,-15.9568427,-28.10902896,27608448.05,True,4,False,,0.2760844805,0.8067080305,0.53062355,中位(3-4板)
002081,002081.SZ,金螳螂,20260507,1家机构买入，成功率50.21%,7.14,10.0154,26605167.3099999,714473374.03,687868206.72,1402341580.75,8061752307.0,0.330017176128,17.394997109156,16.7184,18879897618.96,连续三个交易日内，涨幅偏离值累计达到20%的证券,-4.76190476,1.54061625,11.06442577,-20.0280112,26605167.3099999,True,5,True,1.0,0.266051673099999,7.1447337402999995,6.878682067200001,高位(5板+)
003032,003032.SZ,传智教育,20260728,3家机构买入，成功率38.25%,6.62,9.9668,25949786.0,63574280.0,37624494.0,101198774.0,306103047.0,8.477467393521,33.060361532435,12.3148,1883268244.96,连续三个交易日内，涨幅偏离值累计达到20%的证券,9.96978852,20.99697885,61.02719033,77.34138973,25949786.0,True,2,True,3.0,0.25949786,0.6357428,0.37624494,低位(1-2板)
001259,001259.SZ,利仁科技,20260514,买一主买，成功率44.44%,55.0,10.0,25898000.0,50319500.0,24421500.0,74741000.0,52844935.0,49.007534970002,141.43455754085,0.8746,2614947445.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.0,21.0,60.0,41.8,25898000.0,True,4,False,,0.25898,0.503195,0.244215,中位(3-4板)
002674,002674.SZ,兴业科技,20260622,4家机构买入，成功率40.92%,19.69,10.0,24929892.36,143620229.35,118690336.99,262310566.34,744893127.0,3.346774383649,35.21452364535,0.4514,5760578307.88,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.00507872,21.02590147,60.99542915,45.14982224,24929892.36,True,2,True,4.0,0.2492989236,1.4362022934999998,1.1869033699,低位(1-2板)
002856,002856.SZ,*ST美芝,20260513,西藏自治区资金买入，成功率24.37%,16.3,5.0258,-24749665.04,37342427.0,62092092.04,99434519.04,292121976.0,-8.472373553984,34.038698629096,7.3602,2019642420.9,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,5.03067485,10.30674847,23.43558282,28.89570552,24749665.04,True,3,False,,-0.2474966504,0.37342427,0.6209209204,中位(3-4板)
001259,001259.SZ,利仁科技,20260512,2家机构买入，成功率52.54%,45.45,9.9952,24243944.0,62597198.0,38353254.0,100950452.0,125539699.0,19.311774835465,80.41317033905,1.0842,2160897479.55,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.0110011,21.01210121,61.07810781,61.51815182,24243944.0,True,2,True,2.0,0.24243944,0.62597198,0.38353254,低位(1-2板)
